Question Number,Question,Option A,Option B,Option C,Option D,Answer
83,सांसद का कार्यकाल कितना होता है?,5 वर्ष,4 वर्ष,6 वर्ष,2 वर्ष,A
84,भारतीय संविधान का संशोधन किसके द्वारा किया जाता है?,संसद,राष्ट्रपति,उच्चतम न्यायालय,राज्यपाल,A
85,मोहम्मद तुगलक का शासन काल किस प्रकार के सुधारों के लिए जाना जाता है?,आर्थिक सुधार,सामाजिक सुधार,सैनिक सुधार,संवैधानिक सुधार,A
86,प्रस्तावना का उद्देश्य क्या होता है?,संविधान की मूल बातें निर्धारित करना,संविधान के अधिनियम को स्पष्ट करना,संविधान को लागू करना,संविधान को संशोधित करना,A
87,कौन सी नदी भारत के पश्चिमी घाट से निकलती है?,गोदावरी,कावेरी,सप्तक्षी,गंगा,A
88,किस शासक ने दिल्ली में लाल किला बनवाया?,शाहजहाँ,अकबर,बाबर,औरंगजेब,A
89,भारतीय संविधान में सर्वोच्च कानून के रूप में कौन सा तत्व वर्णित है?,प्रस्तावना,अनुच्छेद 370,धारा 21,संविधान की नीति,A
90,कौन सा राज्य 'रानी के किले' के लिए प्रसिद्ध है?,राजस्थान,गुजरात,मध्य प्रदेश,उत्तर प्रदेश,A
91,विज्ञान के क्षेत्र में भारत का पहला नोबेल पुरस्कार किसे मिला?,रवींद्रनाथ ठाकुर,सी. वी. रमन,सुभाष चंद्र बोस,विक्रम साराभाई,B
92,भारत का सबसे बड़ा दलहन उत्पादक राज्य कौन सा है?,मध्य प्रदेश,राजस्थान,पंजाब,उत्तर प्रदेश,A
93,ध्वनि की गति' की मात्रक क्या होती है?,मीटर प्रति सेकंड,किलोमीटर प्रति घंटे,सेंटीमीटर प्रति मिनट,नॉट,A
94,भारत में रेल परिवहन का उद्घाटन कब हुआ?,1853,1860,1870,1880,A
95,किसके द्वारा भारतीय तट रक्षक बल की स्थापना की गई?,अटल बिहारी वाजपेयी,लाल बहादुर शास्त्री,इंदिरा गांधी,जवाहरलाल नेहरू,D
96,भारतीय स्वतंत्रता संग्राम में गदर पार्टी का प्रमुख नेता कौन था?,भगत सिंह,चंद्रशेखर आजाद,सुखदेव,उधम सिंह,D
97,महात्मा गांधी का सत्याग्रह के लिए पहला आंदोलन कौन सा था?,चंपारण सत्याग्रह,असहयोग आंदोलन,नमक सत्याग्रह,दांडी मार्च,A
98,संसद के दोनों सदनों के सदस्यों की संयुक्त बैठक की अध्यक्षता कौन करता है?,राष्ट्रपति,लोकसभा अध्यक्ष,राज्यसभा अध्यक्ष,प्रधानमंत्री,A
99,भारत में मृदा के अपरदन को रोकने के लिए कौन सी योजना है?,जल संसाधन प्रबंधन योजना,सार्वजनिक निर्माण योजना,पृथ्वी संरक्षण योजना,कृषि विकास योजना,C
100,गांधीजी के 'नमक सत्याग्रह' की शुरुआत कहाँ से हुई थी?,दांडी,चंपारण,सूरत,अहमदाबाद,A
